id,label,house
AERON,Aeron,Greyjoy
AERYS,Aerys,Targaryen
ALLISER_THORNE,Alliser,Misc
AREO,Areo,Misc
ARTHUR,Arthur,Misc
ARTHUR_CHILD,Arthur (child),Misc
ARYA,Arya,Stark
BALON,Balon,Greyjoy
BELICHO,Belicho,Misc
BENJEN,Benjen,Stark
BERIC,Beric,Misc
BIANCA,Bianca,Misc
BLACK_WALDER,Black Walder,Misc
BOBONO,Bobono,Misc
BOWEN_MARSH,Bowen,Misc
BRAN,Bran,Stark
BRIENNE,Brienne,Misc
BRONN,Bronn,Misc
BRYNDEN,Brynden,Tully
CAMELLO,Camello,Misc
CATELYN,Catelyn,Stark
CERSEI,Cersei,Lannister
CLARENZO,Clarenzo,Misc
DAARIO,Daario,Misc
DAENERYS,Daenerys,Targaryen
DAVOS,Davos,Misc
DICKON,Dickon,Misc
DIM_DALBA,Dim Dalba,Misc
EDDISON_TOLLETT,Eddison,Misc
DOM,Dom,Misc
DORAN,Doran,Martell
DOSH_KHALEEN_LEADER,Dosh Khaleen Leader,Misc
DROGO,Drogo,Misc
EDMURE,Edmure,Tully
ELLARIA,Ellaria,Misc
EURON,Euron,Greyjoy
FLYNN,Flynn,Baratheon
GATINS,Gatins,Misc
GILLY,Gilly,Misc
GALBART_GLOVER,Glover,Misc
GREY_WORM,Grey Worm,Misc
GUARD_CAPTAIN,Guard Captain,Misc
HARALD,Harald,Misc
HIGH_SPARROW,High Sparrow,Misc
HODOR,Hodor,Misc
HOSTER,Hoster,Tully
HOWLAND,Howland,Misc
IZEMBARO,Izembaro,Misc
JAIME,Jaime,Lannister
JAQEN,Jaqen,Misc
JEOR,Jeor,Misc
JOFFREY,Joffrey,Baratheon
JON,Jon,Stark
JORAH,Jorah,Misc
KEVAN,Kevan,Lannister
KHAL_MORO,Khal Moro,Misc
KINVARA,Kinvara,Misc
KRAZNYS,Kraznys,Misc
LADY_CRANE,Lady Crane,Misc
LANCEL,Lancel,Lannister
LEAF,Leaf,Misc
LEM,Lem,Misc
LHAZAREEN_WOMAN,Lhazareen Woman,Misc
LITTLE_SAM,Little Sam,Misc
LITTLEFINGER,Petyr,Misc
LORAS,Loras,Tyrell
LOTHAR,Lothar,Misc
LYANNA,Lyanna,Stark
LYANNA_MORMONT,Lyanna Mormont,Misc
MACE,Mace,Tyrell
MAESTER_AEMON,Aemon,Targaryen
MAESTER_CITADEL,Citadel Maester,Misc
MAESTER_DORNE,Dorne Maester
MAESTER_MORMONT,Mormont Maester,Misc
MAESTER_WOLKAN,Wolkan,Misc
MANCE,Mance,Misc
MANDERLY,Manderly,Misc
MARGAERY,Margaery,Tyrell
MEERA,Meera,Misc
MELESSA,Melessa,Misc
MELISANDRE,Melisandre,Misc
MINISA,Minisa,Tully
MISSANDEI,Missandei,Misc
MORGAN,Morgan,Misc
MOUNTAIN,Gregor,Misc
MYRANDA,Myranda,Misc
MYRCELLA,Myrcella,Baratheon
NED,Ned,Stark
NIGHT_KING,Night King,Misc
NYMERIA,Nymeria,Martell
OBARA,Obara,Martell
OBERYN,Oberyn,Martell
OLD_NAN,Old Nan,Misc
OLENNA,Olenna,Tyrell
OLLY,Olly,Misc
OSHA,Osha,Misc
OTHELL_YARWYCK,Othell,Misc
PODRICK,Podrick,Misc
PYCELLE,Pycelle,Misc
QYBURN,Qyburn,Misc
RAMSAY,Ramsay,Misc
RANDYLL,Randyll,Misc
RAY,Ray,Misc
RAZDAL,Razdal,Misc
RED_PRIEST,Red Priest,Misc
RICKARD_KARSTARK,Rickard Karstark,Misc
RICKARD_STARK,Rickard Stark,Stark
RICKON,Rickon,Stark
ROBB,Robb,Stark
ROBERT,Robert,Baratheon
ROBETT,Robett,Misc
ROBIN,Robin,Arryn
RODRIK,Rodrik,Misc
ROOSE_BOLTON,Roose,Misc
SAM,Sam,Misc
SANSA,Sansa,Stark
SEPTA_UNELLA,Septa Unella,Misc
SHIREEN,Shireen,Baratheon
SMALLJON,Smalljon,Misc
SON_OF_EDMURE,Edmure's Son,Misc
SON_OFWALDA,Roose's Son,Misc
STANNIS,Stannis,Baratheon
TALLA,Talla,Misc
THEON,Theon,Greyjoy
THOROS,Thoros,Misc
THREE_EYED_RAVEN,Three Eyed Raven,Misc
TOMMEN,Tommen,Baratheon
TORMUND,Tormund,Misc
TRYSTANE,Trystane,Martell
TYENE,Tyene,Martell
TYRION,Tyrion,Lannister
TYWIN,Tywin,Lannister
VALA,Vala,Misc
VARYS,Varys,Misc
WAIF,Waif,Misc
WALDA,Walda,Misc
WALDER,Walder,Misc
WUN_WUN,Wun Wun,Misc
YARA,Yara,Greyjoy
YEZZAN,Yezzan,Misc
ROYCE,Yohn,Misc
