id,label,house
AEGON,Aegon,Targaryen
AERYS,Aerys,Targaryen
ALTON,Alton,Lannister
AMORY,Amory,Misc
ARYA,Arya,Stark
BALON,Balon,Greyjoy
BARRA,Barra,Misc
BENJEN,Benjen,Stark
BILLY,Billy,Misc
BITER,Biter,Misc
BLACK_LORREN,Black Lorren,Misc
BOROS,Boros,Misc
BRAN,Bran,Stark
BRIENNE,Brienne,Misc
BRONN,Bronn,Misc
CAPTAINS_DAUGHTER,Captain's Daughter,Misc
CATELYN,Catelyn,Stark
CERSEI,Cersei,Lannister
COLEN,Colen,Misc
CRASTER,Craster,Misc
CRESSEN,Cressen,Misc
DAENERYS,Daenerys,Targaryen
DAGMER,Dagmer,Misc
DAISY,Daisy,Misc
DAVOS,Davos,Misc
DONTOS,Dontos,Misc
DOREAH,Doreah,Misc
DROGO,Drogo,Misc
DROWNED_PRIEST,Drowned Priest,Misc
EDDISON_TOLLETT,Eddison,Misc
FARLEN,Farlen,Misc
FATHER_SEAWORTH,Father Seaworth,Misc
FREY_DAUGHTER,Frey Daughter,Misc
GENDRY,Gendry,Baratheon
GERARD,Gerard,Misc
GILLY,Gilly,Misc
GRENN,Grenn,Misc
HARREN,Harren,Misc
HAYLENE,Haylene,Misc
HIGH_SEPTON,High Septon,Misc
HODOR,Hodor,Misc
HOT_PIE,Hot Pie,Misc
HOUND,Sandor,Misc
ILYN_PAYNE,Ilyn,Misc
IRRI,Irri,Misc
JACKS,Jacks,Misc
JAIME,Jaime,Lannister
JANOS,Janos,Misc
JAQEN,Jaqen,Misc
JEOR,Jeor,Misc
JOANNA,Joanna,Lannister
JOFFREY,Joffrey,Baratheon
JON,Jon,Stark
JON_ARRYN,Jon Arryn,Arryn
JORAH,Jorah,Misc
KEVAN,Kevan,Lannister
KOVARRO,Kovarro,Misc
LANCEL,Lancel,Lannister
LITTLEFINGER,Petyr,Misc
LOMMY_GREENHANDS,Lommy,Misc
LORAS,Loras,Tyrell
LYSA,Lysa,Arryn
MAESTER_LUWIN,Luwin,Misc
MALAKKO,Malakko,Misc
MANCE,Mance,Misc
MANDON,Mandon,Misc
MARGAERY,Margaery,Tyrell
MARYA,Marya,Misc
MATTHOS,Matthos,Misc
MELESSA,Melessa,Misc
MELISANDRE,Melisandre,Misc
MERYN_TRANT,Meryn,Misc
MHAEGEN,Mhaegen,Misc
MOUNTAIN,Gregor,Misc
MYRCELLA,Myrcella,Baratheon
NED,Ned,Stark
OSHA,Osha,Misc
PODRICK,Podrick,Misc
POLLIVER,Polliver,Misc
PORTAN,Portan,Misc
PROTESTER,Protester,Misc
PYATT_PREE,Pyatt Pree,Misc
PYCELLE,Pycelle,Misc
QHORIN,Quorin,Misc
QUAITHE,Quaithe,Misc
QUENT,Quent,Misc
RAKHARO,Rakharo,Misc
RAMSAY,Ramsay,Misc
RANDYLL,Randyll,Misc
LORD_OF_BONES,Lord of Bones,Misc
REGINALD,Reginald,Lannister
RENLY,Renly,Baratheon
RENNICK,Rennick,Misc
RHAEGO,Rhaego,Misc
RHAENYS,Rhaenys,Targaryen
RICKARD_KARSTARK,Rickard Karstark,Misc
RICKON,Rickon,Stark
ROBB,Robb,Stark
ROBERT,Robert,Baratheon
ROBIN,Robin,Arryn
RODRIK,Rodrik,Misc
ROOSE_BOLTON,Roose,Misc
RORGE,Rorge,Misc
ROS,Ros,Misc
SALLADHOR,Salladhor,Misc
SAM,Sam,Misc
SANSA,Sansa,Stark
SEPTON,Septon,Misc
SHAE,Shae,Misc
SILK_KING,Silk King,Misc
SPICE_KING,Spice King,Misc
STANNIS,Stannis,Baratheon
SYRIO_FOREL,Syrio,Misc
TALISA,Talisa,Stark
THEON,Theon,Greyjoy
TICKLER,Tickler,Misc
TIMETT,Timett,Misc
TOMMEN,Tommen,Baratheon
TORRHEN,Torrhen,Misc
TRYSTANE,Trystane,Martell
TYRION,Tyrion,Lannister
TYWIN,Tywin,Lannister
VARYS,Varys,Misc
VISENYA,Visenya,Targaryen
WINTERFELL_SHEPHERD,Shepherd,Misc
XARO,Xaro,Misc
YARA,Yara,Greyjoy
YGRITTE,Ygritte,Misc
YOREN,Yoren,Misc
