id,label,house
AEGON,Aegon,Targaryen
AERYS,Aerys,Targaryen
ANGUY,Anguy,Misc
ARYA,Arya,Stark
LITTLE_SAM,Little Sam,Misc
BALERION,Balerion,Misc
BALON,Balon,Greyjoy
BARRISTAN,Barristan,Misc
BERIC,Beric,Misc
BERT,Bert,Misc
BLACK_WALDER,Black Walder,Misc
BOROS,Boros,Misc
BRANDON_STARK,Brandon,Stark
BRIENNE,Brienne,Misc
BRONN,Bronn,Misc
BRYNDEN,Brynden,Tully
CATELYN,Catelyn,Stark
CERSEI,Cersei,Lannister
CRASTER,Craster,Misc
DAARIO,Daario,Misc
DAENERYS,Daenerys,Targaryen
DAREON,Dareon,Misc
DAVOS,Davos,Misc
DESMOND,Desmond,Misc
DROGO,Drogo,Misc
EDDISON_TOLLETT,Eddison,Misc
EDMURE,Edmure,Tully
ELDRICK,Eldrick,Misc
FARMER,Farmer,Misc
FREY_SEPTON,Frey Septon,Misc
GENDRY,Gendry,Baratheon
GILLY,Gilly,Misc
GREIZHEN,Greizhen,Misc
GRENN,Grenn,Misc
GREY_WORM,Grey Worm,Misc
HIGH_SEPTON,High Septon,Misc
HOBB,Hobb,Misc
HODOR,Hodor,Misc
HOSTER,Hoster,Tully
HOT_PIE,Hot Pie,Misc
HOUND,Sandor,Misc
ILYN_PAYNE,Ilyn,Misc
JAIME,Jaime,Lannister
JEOR,Jeor,Misc
JOANNA,Joanna,Lannister
JOFFREY,Joffrey,Baratheon
JOJEN,Jojen,Misc
JON,Jon,Stark
JORAH,Jorah,Misc
JOYEUSE,Joyeuse,Misc
KARL_TANNER,Karl,Misc
KRAZNYS_MO_NAKLOZ,Kraznys,Misc
LITTLEFINGER,Petyr,Misc
LOCKE,Locke,Misc
LORAS,Loras,Tyrell
LORD_OF_BONES,Lord of Bones,Misc
LOTHAR,Lothar,Misc
LYSA,Lysa,Arryn
MACE,Mace,Tyrell
MAESTER_AEMON,Aemon,Targaryen
MAESTER_LUWIN,Luwin,Misc
MANCE,Mance,Misc
MAREI,Marei,Misc
MARGAERY,Margaery,Tyrell
MARTYN,Martyn,Lannister
MATTHOS,Matthos,Misc
MEERA,Meera,Misc
MELISANDRE,Melisandre,Misc
MERO,Mero,Misc
MERRY,Merry,Misc
MERYN_TRANT,Meryn,Misc
MISSANDEI,Missandei,Misc
MOUNTAIN,Gregor,Misc
MYCAH,Mycah,Misc
MYRANDA,Myranda,Misc
NED,Ned,Stark
OLENNA,Olenna,Tyrell
OLYVAR,Olyvar,Misc
ORELL,Orell,Misc
OSHA,Osha,Misc
PODRICK,Podrick,Misc
PRENDAHL,Prendahl,Misc
PYCELLE,Pycelle,Misc
PYP,Pyp,Misc
QHORIN_HALFHAND,Qhorin,Misc
QYBURN,Qyburn,Misc
RADZAI_MO_ERAZ,Radzai,Misc
RAMSAY,Ramsay,Misc
RANDYLL,Randyll,Misc
RAST,Rast,Misc
LORD_OF_BONES,Lord of Bones,Misc
RENLY,Renly,Baratheon
RICKARD_KARSTARK,Rickard Karstark,Misc
RICKON,Rickon,Stark
ROBB,Robb,Stark
ROBERT,Robert,Baratheon
ROOSE_BOLTON,Roose,Misc
ROS,Ros,Misc
ROSLIN,Roslin,Tully
RYLENE,Rylene,Misc
SALLADHOR,Salladhor,Misc
SAM,Sam,Misc
SANSA,Sansa,Stark
SELWYN,Selwyn,Misc
SELYSE,Selyse,Baratheon
SHAE,Shae,Misc
SHIREEN,Shireen,Baratheon
SORCERER,Sorcerer,Misc
STANNIS,Stannis,Baratheon
STEELSHANKS_WALTON,Steelshanks Walton,Misc
TALISA,Talisa,Stark
TARYN_MANT,Taryn,Misc
THEON,Theon,Greyjoy
THOROS,Thoros,Misc
TORMUND,Tormund,Misc
TORTURER,Torturer,Misc
TYRION,Tyrion,Lannister
TYWIN,Tywin,Lannister
VARYS,Varys,Misc
VIOLET,Violet,Misc
WALDER,Walder,Misc
WILLEM_LANNISTER,Willem,Lannister
YARA,Yara,Greyjoy
YGRITTE,Ygritte,Misc
