id,label,house
ADDAM_MARBRAND,Addam,Misc
AEGON,Aegon,Targaryen
AERYS,Aerys,Targaryen
ALLISER_THORNE,Alliser,Misc
ARYA,Arya,Stark
ASSASSIN,Assassin,Misc
BAELOR,Baelor,Targaryen
BALON,Balon,Greyjoy
BARRISTAN,Barristan,Misc
BENJEN,Benjen,Stark
BERIC,Beric,Misc
BORCAS,Borcas,Misc
BOWEN_MARSH,Bowen,Misc
BRANDON_STARK,Brandon,Stark
BRONN,Bronn,Misc
CATELYN,Catelyn,Stark
CERSEI,Cersei,Lannister
COHOLLO,Cohollo,Misc
DAENERYS,Daenerys,Targaryen
DAREON,Dareon,Misc
DOREAH,Doreah,Misc
DROGO,Drogo,Misc
GALBART_GLOVER,Galbart,Misc
GARED,Gared,Misc
GENDRY,Gendry,Baratheon
GREATJON_UMBER,Greatjon,Misc
GRENN,Grenn,Misc
HIGH_SEPTON,High Septon,Misc
HODOR,Hodor,Stark
HOSTER,Hoster,Tully
HOT_PIE,Hot Pie,Misc
HOUND,Sandor,Misc
HUGH_OF_THE_VALE,Hugh of the Vale,Arryn
ILLYRIO,Illyrio,Misc
ILYN_PAYNE,Ilyn,Misc
IROGENIA,Irogenia,Misc
IRRI,Irri,Misc
JAIME,Jaime,Lannister
JANOS,Janos,Misc
JAREMY_RYKKER,Jaremy,Misc
JEOR,Jeor,Misc
JHIQUI,Jhiqui,Misc
JOANNA,Joanna,Lannister
JOFFREY,Joffrey,Baratheon
JON,Jon Snow,Stark
JON_ARRYN,Jon Arryn,Arryn
JONOS_BRACKEN,Jonos,Misc
JORAH,Jorah,Misc
JORY_CASSEL,Jory,Misc
JOYEUSE,Joyeuse,Misc
KEVAN,Kevan,Lannister
LANCEL,Lancel,Lannister
LEO_LEFFORD,Leo,Misc
LITTLE_BIRD,Little Bird,Misc
LITTLEFINGER,Petyr,Misc
LOMMY_GREENHANDS,Lommy,Misc
LORAS,Loras,Tyrell
LUKE,Luke,Misc
LYANNA,Lyanna,Stark
LYSA,Lysa,Arryn
MACE,Mace,Tyrell
MAESTER_AEMON,Aemon,Targaryen
MAESTER_LUWIN,Luwin,Misc
MAGO,Mago,Misc
MARILLION,Marillion,Misc
MASHA_HEDDLE,Masha,Misc
MELESSA,Melessa,Misc
MERYN_TRANT,Meryn,Misc
MHAEGEN,Mhaegen,Misc
MIRRI_MAZ_DUUR,Mirri Maz Dur,Misc
MORD,Mord,Misc
MOUNTAIN,Gregor,Misc
MYCAH,Mycah,Misc
MYRCELLA,Myrcella,Baratheon
NED,Ned,Stark
OLD_NAN,Old Nan,Misc
OSHA,Osha,Misc
OTHELL_YARWYCK,Othell,Misc
OTHOR,Othor,Misc
PYCELLE,Pycelle,Misc
PYP,Pyp,Misc
QOTHO,Qotho,Misc
RAKHARO,Rakharo,Misc
RANDYLL,Randyll,Misc
RAST,Rast,Misc
RENLY,Renly,Baratheon
RHAEGAR,Rhaegar,Targaryen
RHAEGO,Rhaego,Misc
RICKARD_KARSTARK,Rickard Karstark,Misc
RICKARD_STARK,Rickard Stark,Stark
RICKON,Rickon,Stark
ROBB,Robb,Stark
ROBERT,Robert,Baratheon
ROBIN,Robin,Arryn
RODRIK,Rodrik,Misc
ROOSE_BOLTON,Roose,Misc
ROS,Ros,Misc
ROYCE,Royce,Misc
RYGER_RIVERS,Ryger,Misc
SAM,Sam,Misc
SANSA,Sansa,Stark
SEPTA_MORDANE,Septa Mordane,Misc
SHAE,Shae,Misc
SHAGGA,Shagga,Misc
STABLE_BOY,Stable Boy,Misc
STANNIS,Stannis,Baratheon
STEFFON,Steffon,Baratheon
STEVRON_FREY,Stevron,Misc
SYRIO_FOREL,Syrio,Misc
THEON,Theon,Greyjoy
TOBHO_MOTT,Tobho Mott,Misc
TOMARD,Tomard,Misc
TOMMEN,Tommen,Baratheon
TYRION,Tyrion,Lannister
TYSHA,Tysha,Misc
TYWIN,Tywin,Lannister
VARDIS_EGEN,Vardis,Misc
VARLY,Varly,Misc
VARYS,Varys,Misc
VISERYS,Viserys,Targaryen
WALDER,Walder,Misc
WAYMAR_ROYCE,Waymar,Misc
WILL,Will,Misc
WINE_MERCHANT,Wine Merchant,Misc
YOREN,Yoren,Misc
